,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
3500,294718.0417968749,SFH,60077,1100,7,1,0,No,3.0,0,2.0,19A
6859,330946.875,SFH,60025,1600,6,2,0,No,3.0,0,2.0,19B
6623,415125.0,SFH,60025,1500,7,2,0,Yes,3.0,0,2.0,19A
8672,336662.9316406249,SFH,60076,1422,9,1,1,No,3.0,0,2.5,19A
4572,571775.0773437498,SFH,60062,2668,8,2,1,No,4.0,0,2.0,19A
5742,267909.375,Townhouse,60025,1512,8,2,1,No,3.0,0,0.0,19A
6973,315187.5,Condo,60202,1500,6,2,0,No,3.0,0,0.0,19B
9322,814234.3749999999,SFH,60201,2200,11,3,1,No,4.0,0,1.0,19B
8476,799499.9999999999,SFH,60201,2196,9,2,1,No,4.0,0,1.0,19B
6381,156312.5,SFH,60002,1512,7,2,0,Yes,4.0,0,2.5,19A
952,451000.0,SFH,60201,1750,7,2,1,Yes,3.0,0,1.0,19B
1549,585020.8320312498,SFH,60076,4029,10,3,1,No,4.0,0,2.1,19B
561,273687.8125,Townhouse,60091,1288,6,2,1,No,3.0,0,0.0,19A
3031,271376.43749999994,SFH,60076,1242,6,1,1,No,3.0,0,0.0,19A
7894,1218725.0,SFH,60091,3619,12,3,1,No,5.0,0,3.0,19B
5988,835374.9999999999,Condo,60091,2145,7,2,1,No,2.0,0,2.0,19A
2626,709171.875,SFH,60062,4017,10,3,1,Yes,4.0,0,2.0,19A
253,466375.0,SFH,60077,2730,10,3,0,No,5.0,0,2.5,19A
7845,449667.5,Townhouse,60062,2565,9,2,1,No,4.0,0,2.0,19A
5250,420250.0,SFH,60076,2044,9,2,2,Yes,3.0,0,2.0,19A
5450,640881.25,SFH,60202,2707,9,2,0,No,3.0,0,2.0,19B
1784,1008600.0,SFH,60091,2728,10,3,2,No,4.0,0,2.0,Pre1900
2474,782715.6249999999,SFH,60062,4130,13,4,1,Yes,5.0,0,2.5,19A
985,563750.0,SFH,60062,4050,15,3,1,No,5.0,0,2.0,19A
3875,1060737.2656249998,SFH,60062,5300,14,7,1,Yes,6.0,1,3.0,19B
6774,380326.25,Townhouse,60053,1900,8,2,1,No,3.0,0,2.0,20A
2239,274700.0,SFH,60076,1001,6,1,0,No,3.0,0,2.0,19A
441,250048.75,Condo,60076,1910,6,2,0,No,2.0,0,1.0,19A
7976,386603.7343749999,Condo,60077,1700,6,2,0,No,3.0,0,2.0,20A
5245,194365.625,Condo,60202,1500,6,2,0,No,3.0,0,0.0,19A
3749,268550.0,SFH,60053,1129,8,2,0,Yes,3.0,1,0.0,19A
5861,220375.0,SFH,60053,1079,7,1,0,No,3.0,0,1.0,19A
2189,354480.875,SFH,60202,1440,11,2,0,No,3.0,0,0.0,19A
4098,284950.0,SFH,60002,3136,10,2,2,Yes,4.0,0,2.0,20A
8096,303630.625,Condo,60203,1390,5,2,0,No,2.0,0,1.0,19A
8716,451768.75,Townhouse,60026,1835,7,2,1,No,3.0,0,2.0,recent
8993,1260750.0,SFH,60029,3778,12,3,1,No,4.0,0,2.5,19B
2914,444414.375,SFH,60062,2133,9,3,1,Yes,4.0,0,2.0,19A
4562,448950.0,SFH,60053,1876,9,3,1,Yes,3.0,0,2.0,19A
1149,656640.625,SFH,60062,2968,11,2,1,No,4.0,0,2.0,19A
2662,350549.99999999994,SFH,60053,1144,7,2,0,Yes,3.0,0,2.0,19A
6745,445875.0,SFH,60091,2200,9,2,0,Yes,3.0,0,2.5,19A
3297,436650.0,Duplex,60062,1746,8,2,1,No,3.0,0,2.0,19A
4011,614615.625,SFH,60091,1500,10,3,0,Yes,3.0,1,2.0,19A
7935,467912.5,SFH,60076,1792,7,2,0,No,3.0,0,2.5,19A
1035,507375.0,SFH,60076,2600,8,3,1,Yes,4.0,0,2.0,20A
2752,541071.875,Condo,60201,1389,5,2,0,No,2.0,0,2.0,20A
6749,522750.0,SFH,60091,3140,12,3,1,Yes,6.0,0,1.0,19B
3963,287000.0,SFH,60053,1148,7,2,0,Yes,3.0,0,1.0,19A
3420,884311.0624999999,SFH,60025,3236,9,4,0,No,4.0,0,2.0,recent
917,351959.375,SFH,60076,1374,7,2,0,No,3.0,0,1.0,19A
4690,461250.0,SFH,60091,3000,11,3,1,Yes,5.0,1,1.0,19A
3056,678703.75,Condo,60201,1737,6,2,1,No,3.0,0,2.0,20A
1339,398186.875,Condo,60077,2015,6,2,0,No,2.0,0,2.0,20A
9004,707249.9999999999,SFH,60202,2350,10,2,0,No,5.0,0,0.0,Pre1900
3732,512179.6875,SFH,60062,2688,9,2,1,No,4.0,0,2.0,19A
7375,440211.875,Townhouse,60025,2476,8,3,1,Yes,3.0,0,2.0,19A
658,199618.75,Condo,60202,1100,5,2,0,No,2.0,0,0.0,19A
8619,271376.43749999994,SFH,60077,1233,6,1,1,No,3.0,0,2.0,19A
3290,569964.0625,SFH,60201,2211,7,2,0,No,4.0,0,2.0,19B
2751,246000.0,SFH,60053,1018,7,2,0,Yes,3.0,0,2.0,19A
1881,302375.0,SFH,60077,1700,8,2,1,Yes,3.0,1,1.0,19A
1531,971828.125,SFH,60091,3341,9,3,1,Yes,3.0,0,1.0,19B
3202,317750.0,SFH,60053,1200,7,2,0,Yes,3.0,0,2.0,19A
6627,360758.3593749999,SFH,60077,1782,7,2,1,Yes,4.0,0,2.5,19A
2443,1100004.375,SFH,60091,4002,11,3,1,No,4.0,0,2.0,19B
2447,440750.0,SFH,60053,1578,8,3,1,Yes,4.0,0,2.0,19A
2919,179374.99999999997,Condo,60062,1200,6,2,0,No,2.0,0,0.0,19A
1412,429705.625,SFH,60062,2515,6,2,1,No,3.0,0,2.0,19A
939,440750.0,Townhouse,60026,1700,7,2,1,No,3.0,0,2.0,20A
2172,798474.9999999999,Townhouse,60026,3840,8,2,2,No,3.0,0,2.5,20A
2353,464376.25,SFH,60077,1985,8,3,0,Yes,3.0,0,2.5,19B
5252,401141.7578124999,SFH,60076,1400,7,2,1,Yes,3.0,0,0.0,19A
4623,666250.0,SFH,60062,2425,9,2,1,No,4.0,0,2.0,19A
8730,565367.5781249998,SFH,60076,3030,9,4,0,Yes,4.0,0,0.0,19A
3872,998093.75,SFH,60201,2496,10,2,1,No,4.0,0,3.0,20A
3911,1230000.0,SFH,60091,3420,12,3,1,No,6.0,0,2.0,19B
9323,387450.0,Townhouse,60025,2704,12,3,1,Yes,3.0,0,2.0,19A
3703,250048.75,Condo,60053,1286,5,2,0,No,2.0,0,2.0,20A
5067,550425.0,SFH,60025,2800,9,2,1,No,4.0,0,2.0,19A
4826,646134.375,SFH,60062,3597,8,3,1,No,4.0,0,2.0,19A
3422,420250.0,Townhouse,60062,2565,9,2,1,No,4.0,0,2.0,19A
301,168415.1875,Condo,60025,890,5,1,0,No,2.0,0,0.0,19A
3476,359843.00234374986,SFH,60062,1987,8,2,1,No,4.0,0,2.0,19A
3692,461250.0,SFH,60025,1369,10,2,0,Yes,3.0,0,2.0,19A
7379,141834.375,Condo,60053,1050,4,1,0,No,1.0,0,1.0,19A
8437,195994.09374999997,Condo,60076,1800,6,2,0,No,2.0,0,2.0,19A
6010,567337.5,SFH,60062,2364,9,2,1,No,4.0,0,2.0,19A
484,782715.6249999999,SFH,60203,3804,10,3,1,No,5.0,0,2.0,19B
6520,315187.5,SFH,60076,1128,8,2,0,Yes,2.0,1,1.0,19A
1693,231650.0,SFH,60201,1750,8,2,1,Yes,4.0,0,0.0,19B
3655,292073.75,SFH,60025,1813,7,2,0,No,4.0,0,2.0,19B
3376,300452.4843749999,SFH,60062,1125,8,2,0,Yes,3.0,0,1.0,19A
1410,533000.0,SFH,60091,2100,7,2,1,No,3.0,0,2.0,19A
7775,110700.0,Condo,60202,681,3,1,0,No,1.0,0,0.0,19B
5846,714425.0,SFH,60062,2700,10,2,1,No,4.0,0,2.0,19A
1215,1512223.6601562493,SFH,60062,5000,13,5,2,Yes,4.0,0,3.0,19B
5732,233146.8203124999,SFH,60076,1720,7,1,1,No,3.0,0,2.0,19B
4067,322875.0,SFH,60025,1363,6,2,0,Yes,3.0,0,2.0,19A
2757,333125.0,SFH,60062,1362,8,2,0,Yes,3.0,0,1.0,19A
